,raw_Time,raw,rendered_Time,rendered
1586993,0,1596126,5.1129,
1586994,0.0272271,1596196,6.80409,
1586995,0.0544541,1596227,7.50845,
1586996,0.0816809,1596273,8.49447,
1586997,0.108907,1596280,8.63783,
1586998,0.136133,1596291,8.85934,
1586999,0.163359,1596307,9.17312,
1587000,0.190583,1596324,9.49521,
1587001,0.217807,1596342,9.82312,
1587002,0.24503,1596357,10.0857,
1587003,0.272251,1596374,10.3713,
1587004,0.299472,1596391,10.6438,
1587005,0.326691,1596408,10.9027,
1587006,0.353909,1596424,11.1338,
1587007,0.381125,1596441,11.3657,
1587008,0.40834,1596458,11.5831,
1587009,0.435553,1596474,11.7743,
1587010,0.462764,1596491,11.963,
1587011,0.489972,1596508,12.1365,
1587012,0.517179,1596525,12.2947,
1587013,0.544384,1596542,12.4373,
1587014,0.571586,1596558,12.557,
1587015,0.598785,1596574,12.6627,
1587016,0.625982,1596591,12.7594,
1587017,0.653176,1596607,12.8357,
1587018,0.680367,1596624,12.9009,
1587019,0.707556,1596640,12.9473,
1587020,0.734741,1596657,12.9807,
1587021,0.761923,1596675,12.9982,
1587022,0.789102,1596691,12.9982,
1587023,0.816277,1596711,12.9777,
1587024,0.843448,1596724,12.9521,
1587025,0.870616,1596741,12.9042,
1587026,0.89778,1596757,12.8442,
1587027,0.92494,1596774,12.7646,
1587028,0.952097,1596791,12.6688,
1587029,0.979248,1596808,12.557,
1587030,1.0064,1596825,12.4293,
1587031,1.03354,1596841,12.2947,
1587032,1.06068,1596858,12.1365,
1587033,1.08781,1596874,11.9736,
1587034,1.11494,1596892,11.7743,
1587035,1.14207,1596908,11.5831,
1587036,1.16918,1596926,11.3524,
1587037,1.1963,1596943,11.1197,
1587038,1.22341,1596959,10.8879,
1587039,1.25051,1596975,10.6438,
1587040,1.27761,1596993,10.3549,
1587041,1.3047,1597010,10.0685,
1587042,1.33179,1597026,9.78737,
1587043,1.35887,1597042,9.49521,
1587044,1.38594,1597058,9.19239,
1587045,1.41301,1597075,8.85934,
1587046,1.44008,1597093,8.49447,
1587047,1.46713,1597108,8.18116,
1587048,1.49418,1597125,7.81635,
1587049,1.52123,1597142,7.44162,
1587050,1.54826,1597158,7.08031,
1587051,1.57529,1597175,6.68771,
1587052,1.60232,1597192,6.28664,
1587053,1.62933,1597207,5.92612,
1587054,1.65634,1597228,5.41165,
1587055,1.68334,1597241,5.08786,
1587056,1.71034,1597258,4.65878,
1587057,1.73732,1597274,4.24954,
1587058,1.7643,1597292,3.78347,
1587059,1.79127,1597308,3.36465,
1587060,1.81824,1597324,2.94205,
1587061,1.84519,1597341,2.48943,
1587062,1.87214,1597358,2.03365,
1587063,1.89908,1597374,1.60232,
1587064,1.92601,1597391,1.14207,
1587065,1.95293,1597408,0.680367,
1587066,1.97985,1597425,0.217807,
1587067,2.00675,1597441,-0.217807,
1587068,2.03365,1597458,-0.680367,
1587069,2.06054,1597475,-1.14207,
1587070,2.08741,1597492,-1.60232,
1587071,2.11428,1597508,-2.03365,
1587072,2.14114,1597525,-2.48943,
1587073,2.16799,1597542,-2.94205,
1587074,2.19483,1597558,-3.36465,
1587075,2.22167,1597575,-3.80951,
1587076,2.24849,1597591,-4.2238,
1587077,2.2753,1597607,-4.63335,
1587078,2.3021,1597624,-5.06279,
1587079,2.32889,1597641,-5.48581,
1587080,2.35567,1597658,-5.90188,
1587081,2.38245,1597674,-6.28664,
1587082,2.40921,1597692,-6.71105,
1587083,2.43596,1597711,-7.14867,
1587084,2.4627,1597724,-7.44162,
1587085,2.48943,1597741,-7.81635,
1587086,2.51614,1597758,-8.18116,
1587087,2.54285,1597775,-8.53561,
1587088,2.56955,1597791,-8.85934,
1587089,2.59623,1597808,-9.19239,
1587090,2.6229,1597826,-9.53232,
1587091,2.64956,1597841,-9.80527,
1587092,2.67621,1597858,-10.1029,
1587093,2.70285,1597875,-10.3877,
1587094,2.72948,1597892,-10.6594,
1587095,2.75609,1597908,-10.9027,
1587096,2.78269,1597925,-11.1478,
1587097,2.80928,1597942,-11.3788,
1587098,2.83586,1597957,-11.5707,
1587099,2.86243,1597974,-11.7743,
1587100,2.88898,1597991,-11.963,
1587101,2.91552,1598008,-12.1365,
1587102,2.94205,1598024,-12.2858,
1587103,2.96856,1598041,-12.4293,
1587104,2.99506,1598058,-12.557,
1587105,3.02155,1598074,-12.6627,
1587106,3.04803,1598091,-12.7594,
1587107,3.07449,1598108,-12.8399,
1587108,3.10093,1598125,-12.9042,
1587109,3.12737,1598142,-12.9521,
1587110,3.15379,1598159,-12.9836,
1587111,3.1802,1598176,-12.9986,
1587112,3.20659,1598192,-12.9977,
1587113,3.23297,1598208,-12.9822,
1587114,3.25933,1598225,-12.9497,
1587115,3.28568,1598242,-12.9009,
1587116,3.31202,1598258,-12.8399,
1587117,3.33834,1598275,-12.7594,
1587118,3.36465,1598292,-12.6627,
1587119,3.39094,1598309,-12.55,
1587120,3.41722,1598324,-12.4373,
1587121,3.44348,1598341,-12.2947,
1587122,3.46973,1598358,-12.1365,
1587123,3.49596,1598374,-11.9736,
1587124,3.52217,1598391,-11.7858,
1587125,3.54838,1598408,-11.5831,
1587126,3.57456,1598425,-11.3657,
1587127,3.60073,1598441,-11.1478,
1587128,3.62688,1598458,-10.9027,
